ID,ISSUE_DATE,PERMIT_TYPE,LATITUDE,LONGITUDE, ESTIMATED_COST ,ISSUE_YEAR,Min_Cost
2842731,10/10/2017,PERMIT - RENOVATION/ALTERATION,41.87961637,-87.62664224,"$15,000,000.00 ",2017,875407.73
2852503,10/26/2017,PERMIT - NEW CONSTRUCTION,41.87913069,-87.65937102,"$15,000,000.00 ",2017,875407.73
2863717,8/2/2017,PERMIT - RENOVATION/ALTERATION,41.87948775,-87.63444223,"$15,000,000.00 ",2017,875407.73
2867499,10/17/2017,PERMIT - RENOVATION/ALTERATION,41.90378167,-87.63199057,"$15,000,000.00 ",2017,875407.73
2892906,11/22/2017,PERMIT - RENOVATION/ALTERATION,41.88326585,-87.63876082,"$15,000,000.00 ",2017,875407.73
2839020,12/8/2017,PERMIT - NEW CONSTRUCTION,41.90221192,-87.63457152,"$15,000,000.00 ",2017,875407.73
2904368,5/25/2018,PERMIT - RENOVATION/ALTERATION,41.87157671,-87.62430952,"$15,000,000.00 ",2018,9.00E+05
2835553,10/16/2017,PERMIT - RENOVATION/ALTERATION,41.84139181,-87.73434997,"$15,155,000.00 ",2017,875407.73
2919632,6/27/2018,PERMIT - RENOVATION/ALTERATION,41.78223539,-87.58665115,"$15,250,800.00 ",2018,9.00E+05
2913254,5/24/2018,PERMIT - NEW CONSTRUCTION,42.00144699,-87.6589217,"$15,500,000.00 ",2018,9.00E+05
2790405,2/9/2017,PERMIT - NEW CONSTRUCTION,41.78067286,-87.60578926,"$16,000,000.00 ",2017,875407.73
2912635,1/26/2018,PERMIT - RENOVATION/ALTERATION,41.98829186,-87.66006497,"$16,000,000.00 ",2018,9.00E+05
2927766,5/7/2018,PERMIT - NEW CONSTRUCTION,41.88749672,-87.64802082,"$16,000,000.00 ",2018,9.00E+05
2870576,11/2/2017,PERMIT - RENOVATION/ALTERATION,41.93860344,-87.64975307,"$16,006,136.00 ",2017,875407.73
2814799,4/12/2017,PERMIT - RENOVATION/ALTERATION,41.84379445,-87.61776768,"$16,114,331.00 ",2017,875407.73
2811980,3/8/2017,PERMIT - RENOVATION/ALTERATION,41.8992486,-87.62427498,"$17,000,000.00 ",2017,875407.73
2909926,5/3/2018,PERMIT - NEW CONSTRUCTION,41.99808611,-87.65988358,"$17,000,000.00 ",2018,9.00E+05
2934521,6/12/2018,PERMIT - RENOVATION/ALTERATION,41.98341915,-87.6550316,"$17,000,000.00 ",2018,9.00E+05
2811757,6/14/2017,PERMIT - NEW CONSTRUCTION,41.93140726,-87.67868693,"$17,200,319.00 ",2017,875407.73
2878062,11/15/2017,PERMIT - NEW CONSTRUCTION,41.79418988,-87.62260056,"$17,442,000.00 ",2017,875407.73
